store_id,city,region,store_format,opened_date
S001,Lille,North,High Street,2022-01-30
S002,Lille,North,Retail Park,2022-08-11
S003,Rouen,North,High Street,2018-05-30
S004,Rouen,North,Retail Park,2022-09-16
S005,Amiens,North,High Street,2021-06-18
S006,Amiens,North,Retail Park,2019-05-13
S007,Marseille,South,High Street,2022-05-20
S008,Marseille,South,Retail Park,2016-02-09
S009,Toulouse,South,High Street,2022-07-10
S010,Toulouse,South,Retail Park,2020-10-26
S011,Nice,South,High Street,2017-04-01
S012,Nice,South,Retail Park,2020-12-18
S013,Lyon,East,High Street,2018-03-08
S014,Lyon,East,Retail Park,2022-08-09
S015,Strasbourg,East,High Street,2022-11-21
S016,Strasbourg,East,Retail Park,2021-02-11
S017,Grenoble,East,High Street,2016-01-03
S018,Grenoble,East,Retail Park,2018-10-28
S019,Rennes,West,High Street,2020-07-25
S020,Rennes,West,Retail Park,2022-09-29
S021,Nantes,West,High Street,2019-01-13
S022,Nantes,West,Retail Park,2021-07-10
S023,Bordeaux,West,High Street,2017-12-24
S024,Bordeaux,West,Retail Park,2019-09-08
